transaction_id,transaction_date,store_id,product_id,product_name,category,quantity,unit_price,total_amount,customer_segment,payment_method
,01/22/2024,S03,P013,Peloton Mat,Sports,6,38.94,233.64,Budget,Debit Card
TXN10075,2024-02-05,S04,P011,Vitamix Blender,Home & Kitchen,7,478.84,3754.11,Budget,Apple Pay
TXN10032,2024-03-24,,P019,La Mer Cream,Beauty,2,186.35,372.7,Loyal,Credit Card
TXN10144,2024-02-06,S09,P008,Champion Hoodie,Apparel,6,51.96,311.76,Premium,Debit Card
TXN10048,2024-02-11,S08,P004,Sony WH-1000XM5,Electronics,6,357.17,2143.02,Loyal,PayPal
,2024-03-13,S05,P014,TRX Resistance Bands,Sports,4,63.28,253.12,Premium,Apple Pay
TXN10106,2024-03-19,S07,P010,KitchenAid Mixer,Home & Kitchen,8,377.05,3016.4,Bgt,Debit Card
TXN10083,02/06/2024,S07,P004,Sony WH-1000XM5,Elec.,1,328.38,328.38,Premium,Credit Card
TXN10147,2024-02-20,S07,P003,AirPods Pro,Electronics,2,258.38,516.76,Standard,Debit Card
TXN10051,2024-02-02,S06,P017,CeraVe Moisturizer,BEAUTY,5,17.75,88.75,Premium,PayPal
TXN10129,03/06/2024,S03,P014,TRX Resistance Bands,SPORTS,3,61.1,183.3,Std,Apple Pay
TXN10154,02-28-2024,S07,P003,AirPods Pro,Electronics,4,260.49,1041.96,Premium,PayPal
TXN10143,2024-02-18,S10,P009,Instant Pot Duo,Home & Kitchen,7,93.53,654.71,Loyal,Credit Card
TXN10084,01/08/2024,S02,P018,Dyson Airwrap,Beauty,2,575.63,1151.26,Budget,Credit Card
TXN10047,2024-03-30,S08,P013,Peloton Mat,Sports,8,39.69,317.52,Premium,PayPal
TXN10115,2024-02-26,S02,P020,Neutrogena SPF 50,Beauty,2,12.13,24.26,budget,PayPal
TXN10041,02/01/2024,S05,P019,La Mer Cream,Beauty,1,200.52,200.52,Budget,PayPal
TXN10067,2024-02-09,S06,P006,Nike Air Max,Clothing,2,115.34,230.68,Budget,Apple Pay
,2024-02-24,S07,P005,Levi's 501 Jeans,Apparel,6,68.76,412.56,Budget,Debit Card
TXN10058,2024-03-14,S02,P014,TRX Resistance Bands,Sports,7,63.15,442.05,Budget,PayPal
TXN10108,03-19-2024,S07,P014,TRX Resistance Bands,Sports,3,62.96,188.88,loyal,Apple Pay
TXN10133,2024-01-31,S06,P013,Peloton Mat,Sport,2,40.51,81.02,Budget,Credit Card
TXN10130,2024-02-13,S04,P006,Nike Air Max,Apparel,5,112.24,561.2,Standard,Apple Pay
TXN10093,2024-02-20,S06,P019,La Mer Cream,BEAUTY,2,194.99,389.98,Premium,PayPal
TXN10104,03-07-2024,S07,P005,Levi's 501 Jeans,Apparel,5,70.18,350.9,Bgt,Debit Card
TXN10105,2024-03-08,S07,P006,Nike Air Max,Apparel,2,120.57,241.14,Prem,Credit Card
TXN10020,2024-01-16,S02,P015,Bowflex Dumbbells,Sports,7,321.32,2249.24,Budget,Apple Pay
TXN10087,2024-02-08,S07,P016,CamelBak Water Bottle,Sports,3,28.56,85.68,Premium,Apple Pay
,03-21-2024,S07,P015,Bowflex Dumbbells,Sport,3,301.51,904.53,Loyal,Credit Card
TXN10013,2024-01-04,S03,P018,Dyson Airwrap,Beauty,3,604.24,1812.72,Premium,Credit Card
TXN10059,2024-02-14,S08,P020,Neutrogena SPF 50,Beauty,3,12.63,37.89,Premium,Debit Card
TXN10062,2024-01-21,S10,P001,iPhone 15,Electronics,8,1038.94,8311.52,Budget,Debit Card
TXN10047,2024-03-30,S08,P013,Peloton Mat,Sports,8,39.69,317.52,Premium,PayPal
TXN10116,2024-03-05,S10,P005,Levi's 501 Jeans,Apparel,7,75.12,525.84,Prem,PayPal
TXN10049,2024-02-01,S09,P014,TRX Resistance Bands,Sports,7,60.0,420.0,Loyal,Debit Card
TXN10050,2024-02-12,S03,P005,Levi's 501 Jeans,Apparel,4,64.56,258.24,Standard,Debit Card
,01-20-2024,S08,P019,La Mer Cream,Beauty,2,182.46,364.92,Standard,PayPal
TXN10122,03/22/2024,S05,P003,AirPods Pro,Electronics,1,243.57,243.57,premium,Apple Pay
TXN10012,2024-03-17,S09,P019,La Mer Cream,Beauty,3,184.46,553.38,Premium,Credit Card
TXN10064,2024-01-27,S05,P011,Vitamix Blender,Home & Kitchen,1,483.31,483.31,Loyal,Apple Pay
TXN10139,2024-03-02,S08,P014,TRX Resistance Bands,Sports,6,56.28,337.68,Loyal,Credit Card
TXN10053,02/15/2024,S05,P020,Neutrogena SPF 50,Beauty,4,13.58,54.32,Premium,Apple Pay
TXN10033,2024-01-31,,P005,Levi's 501 Jeans,Apparel,6,69.01,414.06,Budget,Apple Pay
TXN10001,2024-03-10,S06,P012,Nespresso Machine,Home & Kitchen,7,200.86,1406.02,Premium,Debit Card
,2024-03-18,S05,P008,Champion Hoodie,Apparel,2,47.56,95.12,Loyal,Apple Pay
TXN10065,02/04/2024,S09,P017,CeraVe Moisturizer,Beauty,2,16.03,35.91,Budget,Credit Card
TXN10107,2024-03-11,S09,P004,Sony WH-1000XM5,Elec.,5,372.75,1863.75,BUDGET,Apple Pay
TXN10045,2024-02-13,S10,P001,iPhone 15,Electronics,8,977.64,7821.12,Loyal,PayPal
TXN10142,2024-01-08,S01,P005,Levi's 501 Jeans,Apparel,3,70.52,211.56,Loyal,Apple Pay
TXN10137,01/01/2024,S09,P014,TRX Resistance Bands,Sports,2,60.94,121.88,Budget,PayPal
TXN10029,02/24/2024,S10,P001,iPhone 15,ELECTRONICS,7,1031.24,7218.68,Budget,Debit Card
TXN10103,2024-03-03,S07,P002,Samsung Galaxy S24,Electronics,6,831.72,4990.32,STANDARD,Credit Card
TXN10063,03-07-2024,S02,P008,Champion Hoodie,Clothing,7,53.58,375.06,Loyal,PayPal
TXN10050,2024-02-12,S03,P005,Levi's 501 Jeans,Apparel,4,64.56,258.24,Standard,Debit Card
TXN10048,2024-02-11,S08,P004,Sony WH-1000XM5,Electronics,6,357.17,2143.02,Loyal,PayPal
TXN10042,2024-02-14,S06,P011,Vitamix Blender,Home & Kitchen,1,424.07,424.07,Standard,Credit Card
TXN10022,2024-03-17,S05,P018,Dyson Airwrap,Beauty,3,572.38,1717.14,Loyal,Debit Card
TXN10043,02/06/2024,S08,P012,Nespresso Machine,Home & Kitchen,1,203.86,203.86,Premium,Debit Card
TXN20001,2024-03-15,S03,P002,Samsung Galaxy S24,Electronics,1,9999.99,9999.99,Premium,Credit Card
TXN20002,2024-03-10,S05,P020,Neutrogena SPF 50,Beauty,1,0.01,0.01,Premium,Credit Card
TXN10094,03-22-2024,S10,P018,Dyson Airwrap,Beauty,6,645.38,3872.28,Premium,PayPal
TXN10135,2024-01-30,S05,P008,Champion Hoodie,Clothing,5,48.03,240.15,Premium,Credit Card
TXN10090,03-22-2024,S01,P007,Patagonia Fleece,Apparel,8,143.0,1281.28,Premium,Credit Card
TXN10159,2024-03-18,S09,P018,Dyson Airwrap,Beauty,4,621.27,2485.08,Standard,Credit Card
TXN10018,01-29-2024,S10,P017,CeraVe Moisturizer,beauty,6,17.13,102.78,Premium,Apple Pay
TXN20003,2024-03-30,S09,P017,CeraVe Moisturizer,Beauty,1,0.01,0.01,Premium,Credit Card
TXN10126,2024-02-03,S01,P015,Bowflex Dumbbells,Sports,8,313.67,2509.36,standard,Credit Card
TXN10152,01/18/2024,S01,P020,Neutrogena SPF 50,BEAUTY,4,12.84,51.36,Standard,PayPal
TXN10156,2024-01-25,S01,P020,Neutrogena SPF 50,Beauty,8,12.04,96.32,Budget,Apple Pay
TXN10057,2024-01-17,S05,P008,Champion Hoodie,Apparel,6,51.92,311.52,Loyal,Debit Card
TXN10132,2024-02-02,S03,P003,AirPods Pro,Electronics,8,233.0,1864.0,Premium,Credit Card
RET10003,2024-02-22,S01,P007,Patagonia Fleece,Apparel,-1,153.07,-153.07,Standard,Credit Card
TXN10061,2024-01-31,S03,P016,CamelBak Water Bottle,Sports,6,32.05,192.3,Standard,Apple Pay
TXN10069,01-18-2024,S04,P006,Nike Air Max,Apparel,4,126.63,506.52,Premium,Debit Card
TXN10119,03/22/2024,S01,P008,Champion Hoodie,Apparel,6,51.53,309.18,Prem,Credit Card
TXN10086,2024-01-19,S04,P016,CamelBak Water Bottle,Sports,8,32.35,258.8,Loyal,Debit Card
TXN20000,2024-01-27,S01,P001,iPhone 15,Electronics,1,9999.99,9999.99,Premium,Credit Card
TXN10150,03-07-2024,S08,P014,TRX Resistance Bands,Sports,5,56.31,281.55,Loyal,Debit Card
TXN10097,02/12/2024,S09,P003,AirPods Pro,Electronics,2,231.37,462.74,Standard,Credit Card
TXN10031,2024-03-16,,P007,Patagonia Fleece,Apparel,8,157.82,1262.56,Standard,Apple Pay
TXN10042,2024-02-14,S06,P011,Vitamix Blender,Home & Kitchen,1,424.07,424.07,Standard,Credit Card
TXN10102,01-14-2024,S08,P012,Nespresso Machine,HOME & KITCHEN,1,191.43,191.43,premium,Apple Pay
TXN10073,2024-01-22,S06,P008,Champion Hoodie,Apparel,6,53.42,320.52,Standard,Debit Card
TXN10114,2024-03-01,S10,P006,Nike Air Max,apparel,6,117.35,704.1,premium,Credit Card
TXN10054,2024-03-16,S02,P008,Champion Hoodie,Apparel,6,49.5,297.0,Loyal,Credit Card
TXN10039,01/11/2024,S08,P002,Samsung Galaxy S24,Electronics,5,884.86,4424.3,Loyal,Debit Card
TXN10091,01-24-2024,S05,P013,Peloton Mat,Sports,1,41.15,41.15,Loyal,Apple Pay
TXN10028,2024-02-06,S03,P020,Neutrogena SPF 50,Beauty,5,12.57,62.85,Loyal,PayPal
TXN10011,2024-03-05,S03,P004,Sony WH-1000XM5,ELECTRONICS,4,325.11,1300.44,Standard,Apple Pay
RET10001,2024-01-05,S02,P014,TRX Resistance Bands,Sports,-2,59.84,-119.68,Budget,Credit Card
TXN10095,2024-01-12,S05,P016,CamelBak Water Bottle,Sports,2,32.27,72.28,Loyal,PayPal
TXN10110,2024-03-21,S04,P007,Patagonia Fleece,Apparel,3,155.94,467.82,budget,PayPal
TXN10111,02-01-2024,S07,P005,Levi's 501 Jeans,Apparel,1,69.58,69.58,BUDGET,PayPal
TXN10158,2024-03-23,S08,P004,Sony WH-1000XM5,Electronics,7,334.97,2344.79,Loyal,PayPal
TXN10045,2024-02-13,S10,P001,iPhone 15,Electronics,8,977.64,7821.12,Loyal,PayPal
TXN10066,03-16-2024,S08,P005,Levi's 501 Jeans,Apparel,4,65.32,261.28,Standard,Debit Card
TXN10074,01-15-2024,S10,P013,Peloton Mat,Sports,2,37.97,75.94,Standard,Apple Pay
TXN10060,2024-02-29,S10,P005,Levi's 501 Jeans,Apparel,3,73.43,246.72,Loyal,Apple Pay
TXN10127,2024-01-01,S01,P007,Patagonia Fleece,Apparel,7,153.14,1071.98,PREMIUM,Apple Pay
TXN10041,02/01/2024,S05,P019,La Mer Cream,Beauty,1,200.52,200.52,Budget,PayPal
TXN10036,02/07/2024,S08,P002,Samsung Galaxy S24,Electronics,8,803.18,6425.44,Loyal,Credit Card
TXN10027,2024-01-18,S02,P017,CeraVe Moisturizer,Beauty,3,17.4,52.2,Standard,Apple Pay
TXN10128,2024-01-25,S10,P009,Instant Pot Duo,Home,6,96.23,577.38,LOYAL,Credit Card
TXN10096,03-02-2024,S04,P013,Peloton Mat,Sport,1,37.34,37.34,Premium,Credit Card
TXN10136,2024-01-21,S01,P018,Dyson Airwrap,Beauty,8,571.84,4574.72,Premium,Debit Card
